game_id,result,winner,number_of_moves,ended_in_draw,winning_line,move_history
1,Draw,None,9,True,None,"[2, 1, 8, 5, 4, 6, 3, 7, 9]"
2,X Win,X,9,False,"(6, 7, 8)","[7, 1, 2, 3, 5, 6, 9, 4, 8]"
3,O Win,O,8,False,"(2, 4, 6)","[9, 7, 2, 5, 8, 4, 1, 3]"
4,X Win,X,7,False,"(0, 3, 6)","[7, 6, 3, 2, 4, 8, 1]"
5,X Win,X,7,False,"(0, 1, 2)","[2, 8, 1, 5, 6, 7, 3]"
6,X Win,X,7,False,"(6, 7, 8)","[8, 2, 5, 1, 9, 6, 7]"
7,X Win,X,9,False,"(6, 7, 8)","[6, 4, 8, 1, 2, 5, 7, 3, 9]"
8,O Win,O,8,False,"(2, 5, 8)","[2, 8, 4, 6, 5, 3, 7, 9]"
9,O Win,O,6,False,"(2, 5, 8)","[4, 6, 8, 9, 1, 3]"
10,O Win,O,6,False,"(3, 4, 5)","[9, 4, 2, 6, 7, 5]"
11,Draw,None,9,True,None,"[9, 4, 7, 3, 1, 5, 2, 8, 6]"
12,X Win,X,7,False,"(2, 5, 8)","[5, 2, 3, 8, 6, 4, 9]"
13,O Win,O,8,False,"(2, 4, 6)","[8, 7, 6, 4, 2, 5, 1, 3]"
14,Draw,None,9,True,None,"[9, 5, 7, 6, 4, 8, 2, 1, 3]"
15,O Win,O,6,False,"(1, 4, 7)","[9, 8, 1, 2, 3, 5]"
16,X Win,X,7,False,"(2, 4, 6)","[3, 8, 6, 1, 7, 9, 5]"
17,O Win,O,8,False,"(0, 3, 6)","[8, 5, 6, 1, 2, 7, 9, 4]"
18,X Win,X,5,False,"(1, 4, 7)","[2, 6, 5, 3, 8]"
19,X Win,X,7,False,"(6, 7, 8)","[1, 6, 7, 3, 9, 2, 8]"
20,X Win,X,9,False,"(2, 4, 6)","[5, 4, 2, 6, 3, 1, 9, 8, 7]"
21,X Win,X,7,False,"(0, 3, 6)","[1, 3, 5, 6, 4, 2, 7]"
22,O Win,O,8,False,"(2, 5, 8)","[2, 3, 8, 6, 1, 5, 4, 9]"
23,X Win,X,9,False,"(0, 4, 8)","[9, 3, 4, 7, 8, 6, 1, 2, 5]"
24,Draw,None,9,True,None,"[7, 6, 4, 8, 5, 1, 2, 3, 9]"
25,X Win,X,9,False,"(2, 5, 8)","[6, 1, 7, 8, 3, 4, 2, 5, 9]"
26,Draw,None,9,True,None,"[4, 2, 1, 6, 3, 7, 8, 9, 5]"
27,X Win,X,5,False,"(6, 7, 8)","[9, 3, 7, 6, 8]"
